id,title,author,source,date,subjects
307,"Country, Cabaret, and Rock — It's The New Look Jerry Lee Lewis",Alan Walsh,Melody Maker,17 August 1968,['jerry-lee-lewis']
308,"Country albums from the Byrds, Loretta Lynn, Kitty Wells et al",uncredited writer,Disc and Music Echo,12 October 1968,"['byrds-the', 'loretta-lynn', 'conway-twitty', 'bill-anderson', 'kitty-wells', 'jan-howard', 'jack-greene', 'ernest-tubb']"
309,Johnny Cash: Johnny Cash at Folsom Prison (CBS 63308),Geoffrey Cannon,The Guardian,12 November 1968,['johnny-cash']
310,Jeannie C. Riley: A Wild Jeannie,Alan Smith,New Musical Express,30 November 1968,['jeannie-c-riley']
311,'Harper Valley' Characters Come To Life via Jeannie C. Riley,Lon Goddard,Record Mirror,7 December 1968,['jeannie-c-riley']
312,Chet Atkins: The Day Elvis Split his Pink Britches,Alan Walsh,Melody Maker,8 March 1969,['chet-atkins']
313,"George Jones & Tammy Wynette: The Playroom, Atlanta; Waylon Jennings, Conway Twitty: City Auditorium, Atlanta",Gene Guerrero,The Great Speckled Bird,10 March 1969,"['merle-haggard', 'waylon-jennings', 'george-jones', 'conway-twitty', 'tammy-wynette']"
314,"Johnny Cash: ""Ain't Nothin' Too Weird For Me""",Michael Lydon,The New York Times,16 March 1969,"['carter-family-the', 'johnny-cash']"
315,Charley Pride: Country Pride,Gene Guerrero,The Great Speckled Bird,17 March 1969,['charley-pride']
317,Johnny Cash & Bob Dylan: Mind blowing duo,Richard Green,New Musical Express,29 March 1969,"['johnny-cash', 'leonard-cohen', 'bob-dylan', 'georgie-fame', 'simon--garfunkel']"
318,"The Byrds, Albert King: Rose Palace, Pasadena CA",John Mendelssohn,Los Angeles Times,20 May 1969,"['byrds-the', 'albert-king']"
319,Sun Records: Country Meets Rock,Guy Stevens,International Times,23 May 1969,"['johnny-cash', 'jerry-lee-lewis', 'carl-perkins', 'elvis-presley']"
401,Bobbie Gentry Explains The Trouser Suit Scene,David Griffiths,Record Mirror,5 July 1969,['bobbie-gentry']
