id,title,author,source,date,subjects,topic,type,href
s7100,Stevie Wonder: Original Musiquarium I (Motown),Lloyd Bradley,New Musical Express,15 May 1982,['stevie-wonder'],soul,Review,/Library/SearchLinkRedirect?folder=stevie-wonder-ioriginal-musiquarium-ii-motown
s7101,"William Bootsy Collins: The One Giveth, The Count Taketh Away (Warner Bros Import); Captain Sky: Return Of The Captain (AVI Import)",Lloyd Bradley,New Musical Express,22 May 1982,"['bootsy-collins', 'captain-sky']",soul,Review,/Library/SearchLinkRedirect?folder=william-bootsy-collins-ithe-one-giveth-the-count-taketh-awayi-warner-bros-import-captain-sky-ireturn-of-the-captaini-avi-import
s7102,Dr John: On Becoming Mac Rebennack,J.D. Considine,Musician,June 1982,['dr-john'],soul,Interview,/Library/SearchLinkRedirect?folder=dr-john-on-becoming-mac-rebennack
s7103,Chic: Baltimore,J.D. Considine,Musician,June 1982,['chic'],soul,Live Review,/Library/SearchLinkRedirect?folder=chic-baltimore
s7104,"""Doc"" Pomus: Songwriter Superhero",Gary Kenton,Musician,June 1982,['doc-pomus'],soul,Retrospective and Interview,/Library/SearchLinkRedirect?folder=doc-pomus-songwriter-superhero
s7105,The Superstar: Much More Than The Just The music,Vernon Gibbs,Billboard,5 June 1982,"['james-brown', 'george-clinton', 'commodores-the', 'earth-wind--fire', 'marvin-gaye', 'quincy-jones', 'diana-ross', 'stevie-wonder']",soul,Overview,/Library/SearchLinkRedirect?folder=the-superstar-much-more-than-the-just-the-music
s7106,Touring Talent Sacrifices Luxury For Livelihood,Vernon Gibbs,Billboard,5 June 1982,"['brass-construction', 'millie-jackson', 'rick-james', 'maze', 'prince', 'skyy-us', 'd-train']",soul,Report,/Library/SearchLinkRedirect?folder=touring-talent-sacrifices-luxury-for-livelihood
s7107,Temptations Reunited and on the Road Again,Geoffrey Himes,Baltimore Sun,6 June 1982,['temptations-the'],soul,Interview,/Library/SearchLinkRedirect?folder=temptations-reunited-and-on-the-road-again
s7108,"Kid Creole & The Coconuts: Roxy, Los Angeles CA",Richard Cromelin,Los Angeles Times,19 June 1982,['kid-creole--the-coconuts'],soul,Live Review,/Library/SearchLinkRedirect?folder=kid-creole--the-coconuts-roxy-los-angeles-ca
s7109,"Rick James: Sex, Street Smarts and Success",Michael Goldberg,Rolling Stone,24 June 1982,['rick-james'],soul,Interview,/Library/SearchLinkRedirect?folder=rick-james-sex-street-smarts-and-success
s7110,"Smokey Robinson: Painters Mill Star Theatre, Owings Mill MD",Geoffrey Himes,Baltimore Sun,3 July 1982,['smokey-robinson'],soul,Live Review,/Library/SearchLinkRedirect?folder=smokey-robinson-painters-mill-star-theatre-owings-mill-md
s7111,"Millie Jackson, Bobby Bland: Shrine Auditorium, Los Angeles CA",Don Waller,Los Angeles Times,6 July 1982,"['bobby-blue-bland', 'millie-jackson']",soul,Live Review,/Library/SearchLinkRedirect?folder=millie-jackson-bobby-bland-shrine-auditorium-los-angeles-ca
s7112,"Phyllis Hyman: Duke Ellington Sacred Music Concert, St Paul's Cathedral, London",Paul Sexton,Record Mirror,17 July 1982,"['duke-ellington', 'phyllis-hyman']",soul,Live Review,/Library/SearchLinkRedirect?folder=phyllis-hyman-duke-ellington-sacred-music-concert-st-pauls-cathedral-london
s7113,"Darlene Hits Local Scene, Reviving an Old Spector",Joel Selvin,San Francisco Chronicle,18 July 1982,"['darlene-love', 'phil-spector']",soul,Profile and Interview,/Library/SearchLinkRedirect?folder=darlene-hits-local-scene-reviving-an-old-spector
